Churn,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaymentMethod,Monthly,Total,Cuentas_Diarias
No,0,Yes,Yes,39,Fiber optic,No,No,No,Yes,Month-to-month,Credit card (automatic),99.95,3767.4,3.332
No,1,No,No,40,Fiber optic,No,No,No,No,Month-to-month,Electronic check,91.55,3673.6,3.052
Yes,0,No,No,40,Fiber optic,No,Yes,Yes,No,Month-to-month,Credit card (automatic),104.5,4036.85,3.483
Yes,1,No,No,11,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,95.0,1120.3,3.167
No,0,Yes,No,6,DSL,No,No,No,No,Month-to-month,Electronic check,50.35,314.55,1.678
No,0,No,No,30,DSL,Yes,No,No,No,Month-to-month,Mailed check,64.5,1888.45,2.15
No,0,No,No,27,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.4,529.8,0.647
No,1,Yes,No,70,Fiber optic,No,Yes,Yes,No,One year,Electronic check,104.8,7308.95,3.493
No,0,Yes,No,57,Fiber optic,No,Yes,Yes,Yes,One year,Bank transfer (automatic),109.4,6252.7,3.647
No,0,Yes,No,58,DSL,No,No,Yes,No,One year,Credit card (automatic),50.3,2878.55,1.677
No,0,No,No,16,DSL,No,Yes,Yes,No,Month-to-month,Bank transfer (automatic),71.4,1212.1,2.38
No,0,Yes,No,69,Fiber optic,Yes,Yes,Yes,Yes,Two year,Electronic check,116.0,8182.85,3.867
Yes,0,No,No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.85,19.85,0.662
Yes,0,No,Yes,1,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,99.75,99.75,3.325
No,1,Yes,Yes,32,Fiber optic,No,Yes,No,No,Month-to-month,Mailed check,93.95,2861.45,3.132
No,0,Yes,Yes,16,Fiber optic,No,No,Yes,No,Month-to-month,Bank transfer (automatic),90.8,1442.2,3.027
Yes,0,Yes,No,49,DSL,Yes,No,Yes,Yes,One year,Electronic check,84.35,4059.35,2.812
No,0,Yes,No,71,DSL,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),58.25,4145.9,1.942
No,0,No,No,33,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,107.55,3645.5,3.585
No,0,Yes,No,10,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),19.95,187.75,0.665
Yes,0,Yes,No,21,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,111.2,2317.1,3.707
Yes,0,Yes,Yes,37,DSL,Yes,Yes,Yes,No,Month-to-month,Bank transfer (automatic),40.2,1448.8,1.34
No,1,No,No,26,Fiber optic,Yes,No,No,No,Month-to-month,Credit card (automatic),85.8,2193.65,2.86
No,0,No,No,50,DSL,Yes,No,No,Yes,One year,Mailed check,35.4,1748.9,1.18
Yes,0,No,No,7,Fiber optic,No,No,No,No,Month-to-month,Electronic check,73.85,511.25,2.462
No,0,Yes,Yes,61,DSL,Yes,Yes,Yes,Yes,Two year,Mailed check,88.1,5526.75,2.937
Yes,0,No,No,15,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,101.35,1553.95,3.378
No,0,No,Yes,26,DSL,Yes,No,No,Yes,Month-to-month,Mailed check,45.8,1147.0,1.527
No,0,Yes,No,72,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,94.65,6747.35,3.155
No,0,Yes,Yes,44,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),20.5,865.05,0.683
No,0,No,No,66,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),89.4,5976.9,2.98
Yes,0,No,No,2,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Electronic check,86.25,181.65,2.875
No,1,No,No,44,DSL,No,No,Yes,Yes,One year,Bank transfer (automatic),74.85,3268.05,2.495
Yes,0,No,No,12,Fiber optic,No,Yes,No,No,Month-to-month,Bank transfer (automatic),89.75,1052.4,2.992
No,1,Yes,No,69,Fiber optic,No,Yes,Yes,Yes,Two year,Electronic check,109.95,7634.25,3.665
Yes,0,No,No,1,Fiber optic,No,Yes,No,No,Month-to-month,Mailed check,80.2,80.2,2.673
Yes,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.85,63.75,0.662
No,0,Yes,No,2,Fiber optic,Yes,Yes,No,No,Month-to-month,Electronic check,90.35,190.5,3.012
No,1,No,No,27,Fiber optic,No,Yes,Yes,No,Month-to-month,Bank transfer (automatic),86.45,2401.05,2.882
No,0,No,No,26,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,20.3,511.25,0.677
No,1,Yes,No,39,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,101.25,3949.15,3.375
Yes,0,No,No,25,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),94.7,2362.1,3.157
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Mailed check,70.9,70.9,2.363
Yes,0,Yes,No,22,DSL,Yes,No,No,Yes,Month-to-month,Electronic check,54.2,1152.7,1.807
No,0,No,No,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Electronic check,114.9,8496.7,3.83
No,0,No,No,24,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.55,470.2,0.652
No,0,Yes,No,19,Fiber optic,No,No,No,No,Month-to-month,Electronic check,86.85,1564.4,2.895
No,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),25.35,1847.55,0.845
No,1,Yes,No,33,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Bank transfer (automatic),109.9,3694.7,3.663
No,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.95,58.0,0.665
No,0,Yes,Yes,47,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,87.2,4017.45,2.907
No,0,Yes,Yes,62,Fiber optic,Yes,Yes,Yes,Yes,Two year,Mailed check,108.15,6825.65,3.605
No,0,No,No,71,Fiber optic,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),116.3,8309.55,3.877
No,1,Yes,No,7,Fiber optic,No,No,No,No,Month-to-month,Electronic check,89.0,605.45,2.967
No,0,Yes,Yes,27,Fiber optic,Yes,No,No,No,Month-to-month,Mailed check,74.4,1972.35,2.48
No,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,20.05,33.7,0.668
No,0,No,Yes,25,DSL,Yes,No,No,Yes,Two year,Bank transfer (automatic),35.05,844.45,1.168
No,1,No,No,30,DSL,Yes,Yes,No,No,Month-to-month,Electronic check,74.75,2111.3,2.492
Yes,1,Yes,No,58,Fiber optic,Yes,Yes,No,Yes,One year,Credit card (automatic),105.5,6205.5,3.517
Yes,0,Yes,No,10,Fiber optic,No,No,No,No,Month-to-month,Electronic check,85.25,855.3,2.842
No,0,No,No,9,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),75.2,633.85,2.507
Yes,1,Yes,No,6,Fiber optic,No,No,No,No,Month-to-month,Electronic check,84.35,474.9,2.812
No,0,Yes,Yes,69,Fiber optic,Yes,No,Yes,No,One year,Bank transfer (automatic),84.45,5848.6,2.815
No,1,No,No,66,Fiber optic,Yes,No,No,No,Two year,Bank transfer (automatic),102.4,6471.85,3.413
Yes,0,No,No,70,Fiber optic,Yes,Yes,Yes,Yes,One year,Credit card (automatic),115.55,8127.6,3.852
Yes,0,No,No,25,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),25.3,676.35,0.843
No,0,Yes,Yes,46,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,19.25,864.2,0.642
No,0,Yes,No,54,Fiber optic,Yes,Yes,Yes,Yes,One year,Mailed check,114.65,6049.5,3.822
Yes,0,No,No,15,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Electronic check,105.1,1582.75,3.503
No,0,Yes,Yes,12,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),19.4,198.1,0.647
No,0,No,No,22,DSL,No,Yes,No,No,Month-to-month,Electronic check,50.35,1098.85,1.678
No,0,Yes,No,70,DSL,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),57.8,4039.3,1.927
No,0,No,No,30,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Credit card (automatic),84.3,2438.6,2.81
No,0,Yes,Yes,71,Fiber optic,No,Yes,No,No,One year,Bank transfer (automatic),100.55,7113.75,3.352
No,0,Yes,No,30,No,No internet service,No internet service,No internet service,No internet service,One year,Credit card (automatic),19.8,576.65,0.66
Yes,0,Yes,Yes,4,Fiber optic,No,Yes,Yes,No,Month-to-month,Bank transfer (automatic),84.8,371.9,2.827
Yes,0,No,No,2,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,85.85,167.3,2.862
No,0,No,Yes,10,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),19.95,219.5,0.665
No,1,No,No,4,Fiber optic,Yes,No,No,No,Month-to-month,Electronic check,75.35,273.4,2.512
No,1,No,No,52,DSL,Yes,No,No,No,Month-to-month,Credit card (automatic),48.8,2555.05,1.627
Yes,0,No,No,5,DSL,No,No,No,No,Month-to-month,Electronic check,47.15,223.15,1.572
No,0,Yes,Yes,8,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,20.15,165.5,0.672
No,1,No,No,2,DSL,No,No,No,No,Month-to-month,Electronic check,44.3,89.3,1.477
No,0,No,No,3,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,84.3,235.05,2.81
No,0,No,No,19,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,59.55,1144.6,1.985
No,0,No,No,72,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),69.65,4908.25,2.322
No,1,Yes,No,63,DSL,Yes,No,No,Yes,One year,Bank transfer (automatic),36.1,2298.9,1.203
No,0,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),56.6,3789.2,1.887
Yes,0,No,No,1,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,75.9,75.9,2.53
No,0,No,No,60,Fiber optic,No,No,Yes,No,One year,Bank transfer (automatic),79.2,4765.0,2.64
No,0,Yes,Yes,48,DSL,Yes,No,Yes,No,One year,Credit card (automatic),45.0,2196.3,1.5
Yes,0,No,No,1,Fiber optic,No,No,Yes,No,Month-to-month,Credit card (automatic),85.55,85.55,2.852
Yes,0,No,No,15,Fiber optic,No,No,No,No,Month-to-month,Electronic check,93.35,1444.65,3.112
No,0,Yes,No,50,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Bank transfer (automatic),109.65,5405.8,3.655
No,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),89.7,6339.3,2.99
No,0,No,No,46,Fiber optic,Yes,Yes,No,No,Month-to-month,Mailed check,84.25,3847.6,2.808
No,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),92.65,6733.0,3.088
No,0,Yes,Yes,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.7,19.7,0.657
No,0,No,No,1,DSL,No,No,No,No,Month-to-month,Electronic check,50.1,50.1,1.67
No,1,No,No,67,Fiber optic,Yes,Yes,No,Yes,Two year,Bank transfer (automatic),92.45,6140.85,3.082
No,0,Yes,Yes,48,DSL,No,Yes,No,Yes,Two year,Electronic check,79.65,3870.3,2.655
No,0,No,No,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Electronic check,109.9,7624.2,3.663
No,0,Yes,No,52,DSL,Yes,Yes,Yes,Yes,One year,Credit card (automatic),81.4,4354.45,2.713
No,0,Yes,Yes,67,DSL,No,Yes,No,No,One year,Credit card (automatic),50.55,3431.75,1.685
Yes,0,Yes,Yes,28,Fiber optic,No,No,No,No,Month-to-month,Electronic check,81.05,2227.1,2.702
No,0,Yes,Yes,32,DSL,No,Yes,Yes,No,Month-to-month,Bank transfer (automatic),62.45,2045.55,2.082
Yes,1,Yes,No,27,Fiber optic,Yes,No,No,No,Month-to-month,Bank transfer (automatic),75.2,1929.35,2.507
No,0,No,No,3,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,90.4,268.45,3.013
Yes,0,No,No,2,Fiber optic,No,No,No,No,Month-to-month,Electronic check,85.65,181.5,2.855
Yes,0,No,Yes,9,DSL,No,No,Yes,Yes,Month-to-month,Mailed check,72.9,651.4,2.43
No,0,Yes,Yes,50,DSL,Yes,No,No,Yes,Two year,Credit card (automatic),70.5,3486.65,2.35
No,0,Yes,Yes,71,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.1,1389.6,0.67
Yes,1,Yes,No,32,Fiber optic,No,No,No,No,Month-to-month,Electronic check,74.9,2303.35,2.497
No,0,Yes,Yes,16,Fiber optic,Yes,No,Yes,No,Month-to-month,Bank transfer (automatic),100.7,1522.7,3.357
No,0,Yes,Yes,67,Fiber optic,No,No,Yes,Yes,Two year,Bank transfer (automatic),105.65,6717.9,3.522
No,0,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),114.3,8058.55,3.81
Yes,0,No,No,3,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Electronic check,19.75,58.85,0.658
No,0,Yes,Yes,23,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,24.35,538.5,0.812
No,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),69.85,5102.35,2.328
No,0,Yes,Yes,7,DSL,Yes,Yes,Yes,No,Month-to-month,Mailed check,58.85,465.7,1.962
No,0,Yes,Yes,8,DSL,No,No,No,No,Month-to-month,Electronic check,54.4,475.1,1.813
No,0,Yes,Yes,66,DSL,No,No,No,Yes,Two year,Bank transfer (automatic),50.55,3364.55,1.685
Yes,0,No,No,5,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,21.05,113.85,0.702
Yes,0,No,No,49,Fiber optic,No,Yes,Yes,No,Month-to-month,Bank transfer (automatic),103.7,5036.3,3.457
No,0,Yes,No,63,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),19.95,1234.8,0.665
No,1,Yes,Yes,12,DSL,No,No,No,Yes,Month-to-month,Mailed check,29.3,355.9,0.977
No,0,Yes,Yes,27,DSL,Yes,Yes,No,No,Month-to-month,Credit card (automatic),54.75,1510.3,1.825
No,0,No,No,35,DSL,Yes,Yes,Yes,No,Month-to-month,Electronic check,60.55,1982.6,2.018
No,0,Yes,Yes,54,DSL,No,Yes,Yes,Yes,Month-to-month,Electronic check,86.2,4524.05,2.873
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Electronic check,95.45,95.45,3.182
No,0,No,No,5,DSL,No,No,Yes,Yes,Month-to-month,Credit card (automatic),63.95,318.1,2.132
No,0,No,No,19,DSL,No,Yes,No,Yes,One year,Bank transfer (automatic),65.35,1231.85,2.178
No,0,Yes,Yes,52,DSL,No,Yes,Yes,Yes,Two year,Mailed check,50.2,2554.0,1.673
No,0,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),63.8,4684.3,2.127
No,0,No,No,32,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.05,614.45,0.668
Yes,0,Yes,No,8,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,101.15,842.9,3.372
No,0,No,No,41,DSL,No,No,Yes,No,One year,Mailed check,65.0,2531.8,2.167
No,0,No,No,5,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.25,86.05,0.642
No,0,No,Yes,11,DSL,Yes,No,No,Yes,One year,Mailed check,36.05,402.6,1.202
Yes,0,No,No,5,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,96.1,453.4,3.203
No,0,No,No,16,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,19.05,326.65,0.635
No,1,No,No,71,Fiber optic,No,Yes,No,Yes,One year,Bank transfer (automatic),105.75,7382.85,3.525
No,0,No,No,11,DSL,No,Yes,Yes,Yes,One year,Credit card (automatic),40.4,422.6,1.347
Yes,0,Yes,Yes,61,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,99.15,6010.05,3.305
No,0,Yes,No,71,DSL,Yes,Yes,Yes,Yes,One year,Bank transfer (automatic),84.8,6046.1,2.827
No,0,No,No,9,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.85,178.8,0.662
No,0,No,No,6,DSL,Yes,No,No,No,Month-to-month,Electronic check,49.45,314.6,1.648
Yes,0,No,No,26,Fiber optic,No,No,No,No,Month-to-month,Bank transfer (automatic),88.8,2274.35,2.96
No,0,No,No,6,DSL,Yes,Yes,No,No,Month-to-month,Mailed check,55.15,322.9,1.838
No,0,No,No,11,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,84.8,888.75,2.827
Yes,0,Yes,No,1,Fiber optic,No,No,No,No,Month-to-month,Electronic check,80.55,80.55,2.685
No,0,Yes,No,49,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),20.15,973.35,0.672
No,0,Yes,Yes,3,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),58.7,168.6,1.957
No,0,No,No,53,Fiber optic,Yes,Yes,Yes,Yes,Two year,Mailed check,99.5,5424.25,3.317
Yes,0,Yes,Yes,23,Fiber optic,Yes,No,No,Yes,Month-to-month,Electronic check,99.85,2331.3,3.328
Yes,0,No,No,2,DSL,No,No,No,No,Month-to-month,Electronic check,45.35,89.5,1.512
Yes,0,No,No,1,DSL,Yes,No,No,No,Month-to-month,Mailed check,48.55,48.55,1.618
No,0,No,Yes,3,No,No internet service,No internet service,No internet service,No internet service,Two year,Mailed check,26.4,121.25,0.88
Yes,1,Yes,No,68,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,100.2,6851.65,3.34
Yes,0,No,No,8,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,94.7,740.3,3.157
No,0,Yes,No,70,Fiber optic,No,No,Yes,No,One year,Electronic check,97.65,6982.5,3.255
No,0,Yes,Yes,39,Fiber optic,No,No,Yes,No,One year,Electronic check,100.0,3835.55,3.333
Yes,0,No,No,1,Fiber optic,No,No,No,No,Month-to-month,Electronic check,70.1,70.1,2.337
Yes,0,No,No,3,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,97.9,315.3,3.263
No,0,Yes,No,60,Fiber optic,No,Yes,Yes,No,One year,Bank transfer (automatic),102.5,6157.6,3.417
Yes,0,Yes,No,5,Fiber optic,No,No,No,No,Month-to-month,Electronic check,69.95,330.15,2.332
Yes,1,No,No,3,Fiber optic,No,Yes,No,No,Month-to-month,Electronic check,81.35,233.7,2.712
No,0,Yes,No,55,DSL,Yes,Yes,No,Yes,One year,Credit card (automatic),66.05,3462.1,2.202
No,0,No,No,72,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),61.2,4390.25,2.04
No,1,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),74.4,5360.75,2.48
Yes,0,No,No,41,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,106.3,4443.45,3.543
No,0,No,No,60,DSL,Yes,Yes,Yes,No,Two year,Bank transfer (automatic),39.6,2424.5,1.32
Yes,0,No,No,6,Fiber optic,No,No,No,No,Month-to-month,Electronic check,89.3,577.6,2.977
No,0,Yes,No,46,Fiber optic,No,Yes,Yes,Yes,Two year,Credit card (automatic),108.9,4854.3,3.63
No,0,No,No,15,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.9,320.45,0.663
Yes,0,Yes,No,58,Fiber optic,No,No,Yes,Yes,Month-to-month,Credit card (automatic),102.1,5885.4,3.403
No,0,Yes,Yes,23,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.6,426.65,0.653
Yes,1,Yes,Yes,31,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,98.9,2911.3,3.297
No,0,Yes,No,11,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),45.9,521.9,1.53
No,1,No,No,56,Fiber optic,No,Yes,Yes,Yes,Two year,Bank transfer (automatic),99.9,5706.3,3.33
No,0,No,Yes,25,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),20.05,471.7,0.668
No,0,No,No,68,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),64.35,4539.6,2.145
No,0,No,No,40,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),19.65,830.25,0.655
Yes,0,No,No,36,Fiber optic,No,No,No,No,Month-to-month,Electronic check,84.9,3067.2,2.83
Yes,0,No,No,32,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Credit card (automatic),108.15,3432.9,3.605
No,0,Yes,Yes,71,DSL,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),86.85,6263.8,2.895
No,0,Yes,No,17,Fiber optic,No,Yes,Yes,No,Month-to-month,Electronic check,102.55,1742.5,3.418
No,0,Yes,No,18,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,78.2,1468.75,2.607
No,0,No,No,37,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Bank transfer (automatic),91.2,3382.3,3.04
No,0,No,No,2,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,19.35,46.35,0.645
No,0,Yes,Yes,28,Fiber optic,No,No,No,No,One year,Bank transfer (automatic),70.4,1992.2,2.347
No,0,No,No,9,DSL,Yes,Yes,Yes,No,One year,Mailed check,39.55,373.0,1.318
No,0,No,No,1,DSL,Yes,No,No,No,Month-to-month,Electronic check,50.15,50.15,1.672
